legacy_plan_id,cohort,stage,task,activity,execution_mode,owner,duration_days,start_date_raw,start_date_iso,end_date_raw,end_date_iso,execution_status,completion_ratio,cohort_source_value,duration_formula,completion_formula,source_file,source_sheet,source_row
LEG-PLAN-0062,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة دليل المتطوع,جلسة توجيه أونلاين,المستشارين,2,45990,2025-11-29,45991,2025-11-30,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,21
LEG-PLAN-0063,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة الميثاق الأخلاقي للمنظمة ومدير التطوع والمتطوع,جلسة توجيه أونلاين,المستشارين,2,45990,2025-11-29,45991,2025-11-30,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,22
LEG-PLAN-0064,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,لقاء يوضح فيه عمليات التنظيم الإداري والتسويقي لوحدة العمل التطوعي,أون لاين,المستشارين,1,45992,2025-12-01,45992,2025-12-01,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,23
LEG-PLAN-0065,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة الهيكل الإداري والوصف الوظيفي,جلسة توجيه أونلاين,المستشارين,1,45993,2025-12-02,45993,2025-12-02,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,24
LEG-PLAN-0066,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أداة قياس نتائج التطوع,جلسة توجيه أونلاين,المستشارين,1,45994,2025-12-03,45994,2025-12-03,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,25
LEG-PLAN-0067,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أدوات ونماذج عمل وحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,2,45995,2025-12-04,45996,2025-12-05,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,26
LEG-PLAN-0068,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أداة قياس نتائج التطوع,جلسة توجيه أونلاين,المستشارين,2,45998,2025-12-07,45999,2025-12-08,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,27
LEG-PLAN-0069,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أدوات ونماذج عمل وحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,2,45998,2025-12-07,45999,2025-12-08,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,28
LEG-PLAN-0070,3,مرحلة التمكين,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الأول : وضع الخطة التشغيلية وتحديد أصحاب المصلحة وتحليل أدوارهم والحوكمة والتوقعات والتدريب على منهجية بناء الحلول المبتكرة لتحديات وحدة التطوع والتمكين من تصميم خارطة تسويق الفرص التطوعية وقنوات الترويج,حضوري,الفريق الاستشاري,1,46001,2025-12-10,46002,2025-12-11,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,29
LEG-PLAN-0071,3,مرحلة التمكين,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الثاني: المشاركة في ورشة عمل بناء خارطة استدامة وحدة التطوع والتمكين على تصميم الإطار المنطقي لوحدة العمل التطوعي وتوصيف الأثر الاجتماعي المستهدف,حضوري,الفريق الاستشاري,1,46001,2025-12-10,46002,2025-12-11,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,30
LEG-PLAN-0072,3,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,تحكيم الأدوات والنماذج الإدارية لوحدة العمل التطوعي,تحكيم,المحكمين,2,46005,2025-12-14,46006,2025-12-15,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,31
LEG-PLAN-0073,3,مرحلة الموائمة,عقد لقاء مراجعة مخرجات مرحلة التأسيس,لقاء يهدف لمراجعة وتطوير مخرجات أدوات تأسيس وتشغيل الوحدة,ورشة عمل,المستشارين,1,46005,2025-12-14,46005,2025-12-14,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,32
LEG-PLAN-0074,3,مرحلة التمكين,عقد اللقاء الإثرائي (3) (الابتكار في الفرص التطوعية),عقد اللقاء الإثرائي (3) لقاء بعنوان (الاتبكاتر في الفرص التطوعية ) يهدف اللقاء إلى تعزيز دور مدير التطوع في إدارة المتطوعين بفاعلية,أون لاين,الفريق الاستشاري,1,46007,2025-12-16,46007,2025-12-16,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,33
LEG-PLAN-0075,3,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,بناء خارطة تفصيلية لخطوات ومراحل الإطلاق التفعيلي لوحدة التطوع,خطة تنفيذية,المستشارون,2,46008,2025-12-17,46009,2025-12-18,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,34
LEG-PLAN-0076,3,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,تنفيذ الاطلاق التفعيلي,برامج تنفيذية,المستشارون,10,46010,2025-12-19,46019,2025-12-28,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,35
LEG-PLAN-0077,3,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,عقد لقاء مع مدير وحدة التطوع لمناقشة تقرير أداء الوحدة ونتائج التفعيل,برامج تنفيذية,المستشارون,1,46020,2025-12-29,46020,2025-12-29,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,36
LEG-PLAN-0078,3,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,تحكيم متطلبات التفعيل,تحكيم,المحكمين,1,46021,2025-12-30,46021,2025-12-30,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,37
LEG-PLAN-0079,3,مرحلة التقييم والإغلاق,تقييم أداء وحدات العمل التطوعي في الجهات المشاركة خلال فترة التفعيل,استلام تقارير الإنجار لمتطلبات التفعيل النهائية,أون لاين,الفريق الاستشاري,2,46022,2025-12-31,46023,2026-01-01,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,38
LEG-PLAN-0080,3,مرحلة التقييم والإغلاق,تسليم تقارير متابعة حالة تنفيذ الجهات لمتطلبات التفعيل والتقارير النهائية لتخريج الدفعة,تقييم أداء المستشارين,تقييم,الفريق الاستشاري + الأكاديمية,2,46024,2026-01-02,46025,2026-01-03,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,39
LEG-PLAN-0081,3,مرحلة التقييم والإغلاق,تسليم تقارير متابعة حالة تنفيذ الجهات لمتطلبات التفعيل والتقارير النهائية لتخريج الدفعة,تسليم شهادة إغلاق تأسيس الوحدة وفق المعيار الوطني السعودي (إدامة),شهادة,الفريق الاستشاري + الأكاديمية,3,46026,2026-01-04,46028,2026-01-06,لم يبدأ,0,3,,,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,خطة الدفعة الثالثة,40
LEG-PLAN-0082,4,مرحلة الإعداد والتحضير,إعداد خطة مسرعة إدامة,تحديد الجدول الزمني لمهام ومتطلبات برنامج المسرعة,خطة تنفيذية,الفريق الاستشاري,1,45962,2025-11-01,45962,2025-11-01,تم الانجاز,1,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,2
LEG-PLAN-0083,4,مرحلة الإعداد والتحضير,اعتماد خطة مسرعة إدامة,مناقشة الخطة الزمنية للدفعة واعتمادها للإطلاق,أون لاين,الفريق الاستشاري +الأكاديمية,1,45963,2025-11-02,45963,2025-11-02,قيد التنفيذ,0.5,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,3
LEG-PLAN-0084,4,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,التواصل مع المستشارين المرشحين,تواصل,الفريق الاستشاري,1,45962,2025-11-01,45962,2025-11-01,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,4
LEG-PLAN-0085,4,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,إبرام التعاقد مع المستشارين المرشحين,توقيع عقود,الفريق الاستشاري,1,45964,2025-11-03,45964,2025-11-03,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,5
LEG-PLAN-0086,4,مرحلة الإعداد والتحضير,تقييم واختيار الجهات المشاركة,التحقق من استكمال المتطلبات وفرز الجهات الجاهزة للمشاركة,فرز وتقييم,الفريق الاستشاري,2,45960,2025-10-30,45961,2025-10-31,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,6
LEG-PLAN-0087,4,مرحلة الإعداد والتحضير,تقييم واختيار الجهات المشاركة,اختيار الجهات المرشحة للمشاركة وإرسال خطابات القبول,بريد رسمي,الفريق الاستشاري + الأكاديمية,2,45963,2025-11-02,45964,2025-11-03,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,7
LEG-PLAN-0088,4,مرحلة الإعداد والتحضير,تأهيل وتوعية مدراء التطوع,ترشيح مدارء التطوع ومساعديهم للبرنامج التدريبي (إدارة التطوع),فرز وترشيح,الفريق الاستشاري + الأكاديمية,1,45960,2025-10-30,45960,2025-10-30,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,8
LEG-PLAN-0089,4,مرحلة الإعداد والتحضير,تأهيل وتوعية مدراء التطوع,عقد البرنامج التدريبي,دورة تدريبية,الأكاديمية,4,45970,2025-11-09,45973,2025-11-12,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,9
LEG-PLAN-0090,4,مرحلة الإعداد والتحضير,عقد اللقاءات التعريفية بمسرعة إدامة,اللقاء التعريفي بمنهجية المسرعة وأداوتها (المستشارين),أون لاين,الفريق الاستشاري,1,45971,2025-11-10,45971,2025-11-10,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,10
LEG-PLAN-0091,4,مرحلة الإعداد والتحضير,عقد اللقاءات التعريفية بمسرعة إدامة,اللقاء التعريفي بمنهجية المسرعة ومتطلباتها (مدارء الجهات ومدراء التطوع),أون لاين,الفريق الاستشاري,1,45972,2025-11-11,45972,2025-11-11,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,11
LEG-PLAN-0092,4,مرحلة التهيئة والتقييم,عقد اللقاء الإثرائي (1) (العمل التطوعي بين المأسسة والأثر),عقد اللقاء الإثرائي (1) بودكاست (العمل التطوعي بين المأسسة والأثر) لقاء مع أحد قيادات العمل التطوعي، يهدف إلى تسليط الضوء على أهمية مأسسة وحدات العمل التطوعي كخيار استراتيجي يعزز من استدامة الأثر التنموي,أون لاين,الفريق الاستشاري + الأكاديمية,1,45977,2025-11-16,45977,2025-11-16,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,12
LEG-PLAN-0093,4,مرحلة التهيئة والتقييم,تقييم الواقع الراهن للجهات المشاركة,عقد اجتماع مع مدير الجهة ومدير وحدة العمل التطوعي لمناقشة تقرير تقييم مدى جاهزية وتحديد مستوى تطبيقات معيار إدامة,أون لاين,المستشارين,1,45978,2025-11-17,17/11/2025,17/11/2025,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,13
LEG-PLAN-0094,4,مرحلة التهيئة والتقييم,تقييم الواقع الراهن للجهات المشاركة,عقد اجتماع مع مدير الجهة ومدير وحدة العمل التطوعي يهدف إلى توحيد التصورات وتأكيد التبني للعاملين في الجهة وإعداد خطة سد الفجوات,أون لاين,المستشارين,1,45979,2025-11-18,45979,2025-11-18,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,14
LEG-PLAN-0095,4,مرحلة التهيئة والتقييم,عقد اللقاء الإثرائي (2)(التطوع في الجهات بين التحديات والحلول),عقد اللقاء الإثرائي (2) لقاء بعنوان(التطوع في الجهات بين التحدات والحلول) حلقة نقاش تفاعلية تهدف إلى ابتكار الحلول المناسبة لمواجهة تحديات وحدات العمل التطوعي في الجهات,أون لاين,الفريق الاستشاري + الأكاديمية,1,45980,2025-11-19,45980,2025-11-19,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,15
LEG-PLAN-0096,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,لقاء يوضح فيه سياسات العمل التطوعي وفق المعيار الوطني السعودي للتطوع,أون لاين,المستشارين,1,45981,2025-11-20,45981,2025-11-20,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,16
LEG-PLAN-0097,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الأول : المشاركة في ورشة عمل التعريف بأهم أدولة ونماذج معيار إدامة,أون لاين,الفريق الاستشاري,1,45984,2025-11-23,45984,2025-11-23,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,17
LEG-PLAN-0098,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الثاني: المشاركة في ورشة عمل تحديد طبيعة مساهمة وتدخل وحدة التطوع والتأهيل على القيمة المضافة من الوحدة والموارد والأنشطة الرئيسية لها,أون لاين,الفريق الاستشاري,1,45985,2025-11-24,45985,2025-11-24,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,18
LEG-PLAN-0099,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة دليل السياسات والإجراءات,جلسة توجيه أونلاين,المستشارين,2,45986,2025-11-25,45987,2025-11-26,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,19
LEG-PLAN-0100,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة الوثيقة التعريفية لوحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,2,45988,2025-11-27,45989,2025-11-28,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,20
LEG-PLAN-0101,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة دليل المتطوع,جلسة توجيه أونلاين,المستشارين,2,45990,2025-11-29,45991,2025-11-30,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,21
LEG-PLAN-0102,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة الميثاق الأخلاقي للمنظمة ومدير التطوع والمتطوع,جلسة توجيه أونلاين,المستشارين,2,45990,2025-11-29,45991,2025-11-30,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,22
LEG-PLAN-0103,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,لقاء يوضح فيه عمليات التنظيم الإداري والتسويقي لوحدة العمل التطوعي,أون لاين,المستشارين,1,45992,2025-12-01,45992,2025-12-01,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,23
LEG-PLAN-0104,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة الهيكل الإداري والوصف الوظيفي,جلسة توجيه أونلاين,المستشارين,1,45993,2025-12-02,45993,2025-12-02,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,24
LEG-PLAN-0105,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أداة قياس نتائج التطوع,جلسة توجيه أونلاين,المستشارين,1,45994,2025-12-03,45994,2025-12-03,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,25
LEG-PLAN-0106,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أدوات ونماذج عمل وحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,2,45995,2025-12-04,45996,2025-12-05,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,26
LEG-PLAN-0107,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أداة قياس نتائج التطوع,جلسة توجيه أونلاين,المستشارين,2,45998,2025-12-07,45999,2025-12-08,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,27
LEG-PLAN-0108,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,موائمة أدوات ونماذج عمل وحدة العمل التطوعي,جلسة توجيه أونلاين,المستشارين,2,45998,2025-12-07,45999,2025-12-08,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,28
LEG-PLAN-0109,4,مرحلة التمكين,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الأول : وضع الخطة التشغيلية وتحديد أصحاب المصلحة وتحليل أدوارهم والحوكمة والتوقعات والتدريب على منهجية بناء الحلول المبتكرة لتحديات وحدة التطوع والتمكين من تصميم خارطة تسويق الفرص التطوعية وقنوات الترويج,حضوري,الفريق الاستشاري,1,46001,2025-12-10,46002,2025-12-11,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,29
LEG-PLAN-0110,4,مرحلة التمكين,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,اليوم الثاني: المشاركة في ورشة عمل بناء خارطة استدامة وحدة التطوع والتمكين على تصميم الإطار المنطقي لوحدة العمل التطوعي وتوصيف الأثر الاجتماعي المستهدف,حضوري,الفريق الاستشاري,1,46001,2025-12-10,46002,2025-12-11,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,30
LEG-PLAN-0111,4,مرحلة الموائمة,موائمة أدلة ومواثيق وأدوات ونماذج تأسيس وحدات العمل التطوعي,تحكيم الأدوات والنماذج الإدارية لوحدة العمل التطوعي,تحكيم,المحكمين,2,46005,2025-12-14,46006,2025-12-15,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,31
LEG-PLAN-0112,4,مرحلة الموائمة,عقد لقاء مراجعة مخرجات مرحلة التأسيس,لقاء يهدف لمراجعة وتطوير مخرجات أدوات تأسيس وتشغيل الوحدة,ورشة عمل,المستشارين,1,46005,2025-12-14,46005,2025-12-14,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,32
LEG-PLAN-0113,4,مرحلة التمكين,عقد اللقاء الإثرائي (3) (الابتكار في الفرص التطوعية),عقد اللقاء الإثرائي (3) لقاء بعنوان (الاتبكاتر في الفرص التطوعية ) يهدف اللقاء إلى تعزيز دور مدير التطوع في إدارة المتطوعين بفاعلية,أون لاين,الفريق الاستشاري,1,46007,2025-12-16,46007,2025-12-16,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,33
LEG-PLAN-0114,4,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,بناء خارطة تفصيلية لخطوات ومراحل الإطلاق التفعيلي لوحدة التطوع,خطة تنفيذية,المستشارون,2,46008,2025-12-17,46009,2025-12-18,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,34
LEG-PLAN-0115,4,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,تنفيذ الاطلاق التفعيلي,برامج تنفيذية,المستشارون,10,46010,2025-12-19,46019,2025-12-28,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,35
LEG-PLAN-0116,4,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,عقد لقاء مع مدير وحدة التطوع لمناقشة تقرير أداء الوحدة ونتائج التفعيل,برامج تنفيذية,المستشارون,1,46020,2025-12-29,46020,2025-12-29,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,36
LEG-PLAN-0117,4,مرحلة التفعيل والتحكيم,الإطلاق التفعيلي لوحدات العمل التطوعي,تحكيم متطلبات التفعيل,تحكيم,المحكمين,1,46021,2025-12-30,46021,2025-12-30,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,37
LEG-PLAN-0118,4,مرحلة التقييم والإغلاق,تقييم أداء وحدات العمل التطوعي في الجهات المشاركة خلال فترة التفعيل,استلام تقارير الإنجار لمتطلبات التفعيل النهائية,أون لاين,الفريق الاستشاري,2,46022,2025-12-31,46023,2026-01-01,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,38
LEG-PLAN-0119,4,مرحلة التقييم والإغلاق,تسليم تقارير متابعة حالة تنفيذ الجهات لمتطلبات التفعيل والتقارير النهائية لتخريج الدفعة,تقييم أداء المستشارين,تقييم,الفريق الاستشاري + الأكاديمية,2,46024,2026-01-02,46025,2026-01-03,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,39
LEG-PLAN-0120,4,مرحلة التقييم والإغلاق,تسليم تقارير متابعة حالة تنفيذ الجهات لمتطلبات التفعيل والتقارير النهائية لتخريج الدفعة,تسليم شهادة إغلاق تأسيس الوحدة وفق المعيار الوطني السعودي (إدامة),شهادة,الفريق الاستشاري + الأكاديمية,3,46026,2026-01-04,46028,2026-01-06,لم يبدأ,0,4,,,dashboard_bundle_1/الدفعة 4/خطة الدفعة الرابعة.xlsx,خطة الدفعة الرابعة,40
